5m_range,1h_range,6h_range,5m_mean
"(109930.875, 140959.125)","(108703.0, 142187.0)","(109023.75, 141866.25)",235084.4898989899
"(-7120.125, 277703.125)","(14990.5, 245205.5)","(30759.25, 239824.75)",253701.5294117647
"(88979.5, 130496.5)","(89258.5, 130217.5)","(87340.5, 129043.5)",156530.42307692306
"(231.0, 335.0)","(207.0, 323.0)","(65.75, 518.25)",598.28
"(420730.0, 444752.0)","(432273.375, 455983.625)","(395055.0, 465513.0)",440853.4
"(299499.75, 507224.25)","(325758.5, 494637.5)","(388085.5, 450510.5)",306924.94736842107
"(391639.375, 476360.625)","(379304.5, 440999.5)","(384959.125, 483040.875)",466552.4
"(461.0, 745.0)","(420.0, 686.0)","(444.25, 761.75)",589.7344632768362
"(5259.625, 6920.375)","(4974.5, 7025.5)","(4820.5, 6733.5)",8183.213636363636
"(1259.375, 1680.625)","(1329.0, 1559.0)","(391.25, 2656.75)",3342.825
"(30.0, 34.0)","(26.0, 38.0)","(25.0, 43.0)",40.692640692640694
"(22.125, 77.875)","(27.375, 72.625)","(55.0, 95.0)",204.12727272727273
"(693.25, 1162.75)","(696.5, 1067.5)","(414.125, 1601.875)",2997.0205479452056
"(9.0, 11.0)","(8.0, 10.0)","(8.0, 20.0)",11.982758620689655
"(190.0, 208.0)","(188.875, 209.125)","(178.75, 219.25)",447.69827586206895
"(23946613.5, 24039840.5)","(23899866.5, 24100133.5)","(22622500.375, 24377499.625)",23709751.1
"(41201.5, 56318.5)","(53887.5, 68504.5)","(43500.75, 66844.25)",52365.28571428572
"(878125.0, 1111875.0)","(842496.5, 1117496.5)","(747918.5, 1007081.5)",1028866.8958333334
"(431581.25, 1001272.75)","(509049.0, 890951.0)","(570135.875, 864890.125)",849045.8609625668
"(804.0, 2052.0)","(1055.0, 1801.0)","(7.5, 2810.5)",20180.18699186992
"(170.5, 275.5)","(168.875, 276.125)","(153.25, 272.75)",240.85353535353536
"(49.0, 107.0)","(53.375, 106.625)","(62.5, 103.5)",166.1042944785276
"(57637.5, 60618.5)","(58023.5, 60232.5)","(48909.125, 58128.875)",58233.016949152545
"(95.5, 124.5)","(95.0, 129.0)","(84.0, 130.0)",117.19396551724138
"(-821.5, 1627.5)","(-406.875, 1212.875)","(137.375, 668.625)",1227.6158940397352
"(1626.5, 1791.5)","(1563.0, 1846.0)","(1563.5, 1968.5)",1644.031914893617
"(83.5, 94.5)","(77.0, 93.0)","(66.0, 94.0)",86.43243243243244
"(20399991.5, 20999992.5)","(19819546.375, 21030453.625)","(19540145.125, 20485527.875)",20928837.123076923
"(307.0, 1585.0)","(460.625, 1421.375)","(566.0, 1316.0)",1106.5268292682927
"(-76.5, 1062.5)","(299.25, 662.75)","(71.0, 899.0)",4292.307692307692
"(605.5, 1132.5)","(652.125, 1161.875)","(857.625, 1139.375)",4028.0307692307692
"(1179.5, 2284.5)","(1204.125, 2308.875)","(1127.0, 2099.0)",1366.1734693877552
"(1481.0, 1733.0)","(1490.0, 1740.0)","(1206.5, 2217.5)",4592.977272727273
"(47.0, 295.0)","(50.5, 293.5)","(116.5, 367.5)",329.198347107438
"(957.75, 1056.25)","(956.0, 1042.0)","(927.0, 1065.0)",1148.2467532467533
"(256188.0, 343800.0)","(202401.75, 282372.25)","(232985.0, 302023.0)",309021.3093922652
"(2220.5, 3779.5)","(2290.0, 3790.0)","(897.0, 6221.0)",4964.098859315589
"(140108.875, 240406.125)","(97276.25, 202723.75)","(38427.5, 128516.5)",151911.43181818182
"(-932.0, 3528.0)","(-364.0, 2956.0)","(-37.375, 2605.375)",5455.605405405406
"(-9965.25, 12957.25)","(1266.5, 1551.5)","(1325.875, 1524.125)",16495.365384615383
"(305.125, 434.875)","(322.5, 437.5)","(315.875, 444.125)",807.125
"(10711.0, 18281.0)","(11438.5, 17553.5)","(10703.125, 17978.875)",34355.688888888886
"(1414.0, 4386.0)","(1567.875, 4344.125)","(2086.5, 4337.5)",2924.662551440329
"(381.0, 411.0)","(375.5, 416.5)","(340.5, 449.5)",342.4076655052265
"(58.5, 111.5)","(51.0, 111.0)","(28.0, 104.0)",71.17777777777778
"(304.5, 379.5)","(305.0, 379.0)","(296.0, 360.0)",576.4019607843137
"(460.375, 897.625)","(479.5, 878.5)","(439.5, 868.5)",859.3198529411765
"(225.5, 312.5)","(213.0, 325.0)","(215.0, 323.0)",1724.995633187773
"(-11343.5, 16393.5)","(-19459.0, 24509.0)","(-16272.5, 21326.5)",24158.353448275862
"(3017.0, 14983.0)","(3996.5, 15603.5)","(-2050.5, 9798.5)",12151.264367816091
"(8239021.75, 8758978.25)","(8224549.5, 8874548.5)","(8149548.25, 8949549.75)",8570273.567415731
"(2387.5, 14516.5)","(2499.5, 14628.5)","(2029.0, 14529.0)",13319.634615384615
"(93.5, 198.5)","(71.0, 219.0)","(21.5, 274.5)",275.3085501858736
"(113300.0, 124358.0)","(111067.5, 126732.5)","(128904.5, 160701.5)",121231.81879194631
"(886.5, 1289.5)","(875.0, 1280.0)","(887.5, 1107.5)",59185.35398230088
"(9294.75, 13585.25)","(9331.0, 13549.0)","(9245.625, 13873.375)",15186.181069958848
"(737108.875, 1537109.125)","(569998.5, 1429998.5)","(340378.5, 1247615.5)",1371823.5405405406
"(2182499.5, 3817500.5)","(2795665.5, 3384332.5)","(2969994.125, 3420005.875)",2893237.6435643565
"(97.5, 540.5)","(91.5, 516.5)","(79.75, 538.25)",483.0855855855856
"(543.0, 571.0)","(543.375, 570.625)","(545.75, 568.25)",599.5344827586207
"(60621.5, 70378.5)","(62121.5, 71878.5)","(56217.5, 68046.5)",63356.055555555555
"(7096.5, 9305.5)","(7011.0, 9389.0)","(6422.5, 9657.5)",8415.24705882353
"(9835.75, 10568.25)","(9864.0, 10526.0)","(10024.375, 10783.625)",10195.425
"(-4485.5, 23295.5)","(-5091.5, 23577.5)","(-4867.5, 8867.5)",12079.72258064516
"(10402.0, 11396.0)","(9004.75, 10995.25)","(6498.0, 9502.0)",10250.719512195123
"(2830.5, 3287.5)","(2806.0, 3312.0)","(2679.5, 3274.5)",32702.018348623853
"(9720367.125, 10279632.875)","(9760594.125, 10289405.875)","(9865187.5, 10432812.5)",9928241.076086957
"(-85.25, 183.25)","(33.0, 65.0)","(-8.0, 154.0)",179.56666666666666
"(1327858.0, 1432140.0)","(1347021.0, 1389904.0)","(1297312.5, 1435073.5)",1420295.4254385964
"(-11.75, 36.75)","(7.0, 57.0)","(17.0, 67.0)",71.98837209302326
"(8221.25, 10088.75)","(3821.75, 15174.25)","(7569.0, 11373.0)",10877.617117117117
"(53085.5, 75965.5)","(44015.0, 89233.0)","(39502.5, 87083.5)",75280.18691588785
"(968387.5, 1143872.5)","(918381.0, 1177865.0)","(871324.375, 1128675.625)",1057353.4886363635
"(9172.5, 10765.5)","(5743.5, 15416.5)","(8147.5, 10630.5)",10369.307692307691
"(-1.5, 3.5)","(0.0, 6.0)","(6.0, 10.0)",13.431654676258994
"(105336.125, 117971.875)","(106170.5, 118663.5)","(108108.875, 120423.125)",120391.75
"(425150.5, 608382.5)","(395078.125, 604921.875)","(409544.75, 590455.25)",509049.06043956045
"(-38.0, 538.0)","(-156.0, 464.0)","(-57.5, 365.5)",510.8611111111111
"(151.875, 243.125)","(143.25, 238.75)","(136.25, 265.75)",693.7388059701492
"(21.875, 62.125)","(24.5, 65.5)","(9.0, 71.0)",57.825
"(367682.5, 377187.5)","(365253.125, 379616.875)","(366619.625, 397276.375)",371847.6235955056
"(116657.0, 203343.0)","(129835.5, 220731.5)","(128404.375, 283657.625)",188084.34285714285
"(-16192.75, 18192.75)","(-7472.5, 7512.5)","(-7474.0, 7512.0)",48909.34600760456
"(387.25, 716.75)","(378.875, 717.125)","(-973.0, 2177.0)",1213.63687150838
"(294.5, 341.5)","(294.5, 341.5)","(267.625, 368.375)",910.4795539033457
"(21653.25, 34330.75)","(22742.0, 33242.0)","(4405.0, 16039.0)",23951.076923076922
"(1308.0, 4842.0)","(1284.0, 4866.0)","(1235.5, 4908.5)",5771.311557788945
"(6696.5, 13103.5)","(3628.5, 10035.5)","(265.0, 6715.0)",11175.44094488189
"(179.0, 269.0)","(168.5, 277.5)","(133.0, 281.0)",2983.089552238806
"(-618.5, 1330.5)","(-569.0, 729.0)","(-234.875, 947.875)",1190.385593220339
"(5915.0, 8413.0)","(6323.0, 8821.0)","(6066.875, 9933.125)",23268.466666666667
"(3648258.5, 4320121.5)","(3640545.0, 4316545.0)","(3720302.0, 4232024.0)",4220525.305699482
"(20.0, 30.0)","(20.0, 30.0)","(-179.75, 233.75)",1198.845864661654
"(-743.5, 3143.5)","(-743.5, 3143.5)","(-618.0, 3418.0)",2198.557971014493
"(471.125, 658.875)","(385.125, 744.875)","(381.5, 816.5)",681.8673469387755
"(-9087.375, 39081.375)","(-6600.75, 36594.75)","(-6135.0, 36129.0)",38115.971544715445
"(-3383.0, 3583.0)","(-2445.5, 2521.5)","(-2445.5, 2521.5)",16255.55918367347
"(1132.0, 3002.0)","(1123.75, 3010.25)","(771.0, 2775.0)",3666.045226130653
"(4421.5, 15576.5)","(-1013.875, 11307.875)","(237.5, 9762.5)",28935.415094339623
"(-589.0, 2522.0)","(164.875, 1699.125)","(773.875, 936.125)",1995.2045454545455
"(5602.5, 15903.5)","(8057.75, 13448.25)","(5581.375, 15942.625)",15792.49537037037
"(73929.375, 126064.625)","(81498.25, 118495.75)","(31427.5, 88572.5)",182211.66666666666
"(77334.0, 118666.0)","(61078.0, 118032.0)","(47518.5, 67143.5)",98006.71717171717
"(302.0, 640.0)","(336.0, 606.0)","(329.5, 612.5)",2479.2875
"(3566.25, 8471.75)","(1759.5, 13240.5)","(2599.25, 12400.75)",23543.975
"(96.0, 102.0)","(95.75, 102.25)","(96.125, 101.875)",648.8210526315789
"(11881.0, 20467.0)","(13430.0, 18918.0)","(14345.5, 19346.5)",19574.56846473029
"(3754.0, 7680.0)","(4262.0, 6626.0)","(4081.0, 7245.0)",13570.44347826087
"(-470.5, 512.5)","(-470.5, 512.5)","(-470.5, 512.5)",13143.8984375
"(79.5, 150.5)","(78.0, 146.0)","(72.25, 149.75)",606.9403973509934
"(1244.5, 2193.5)","(1244.5, 2193.5)","(1051.75, 2054.25)",1426.4100418410042
"(44139430.375, 45050569.625)","(44071750.0, 44908250.0)","(43198078.25, 44839451.75)",45005064.94520548
"(2399.375, 2606.625)","(2344.0, 2642.0)","(2264.0, 2806.0)",2644.72131147541
"(3465.5, 16502.5)","(481.5, 13518.5)","(4787.5, 9212.5)",14845.738095238095
"(1168.25, 1681.75)","(1161.5, 1688.5)","(802.5, 2047.5)",383047.74074074073
"(77.25, 112.75)","(78.0, 114.0)","(83.0, 109.0)",111.86666666666666
"(48.5, 99.5)","(52.25, 98.75)","(50.5, 97.5)",117.59024390243903
"(1024.5, 1447.5)","(153.75, 2692.25)","(232.875, 2233.125)",2431.367231638418
"(-21.0, 23.0)","(-18.625, 20.625)","(-21.625, 27.625)",437.77777777777777
"(566.5, 693.5)","(568.375, 723.625)","(462.5, 661.5)",4720.615384615385
"(4448.0, 7342.0)","(4317.5, 7262.5)","(4360.75, 7791.25)",8451.867647058823
"(4071.25, 7732.75)","(4129.5, 7674.5)","(4153.75, 7830.25)",8013.337899543379
"(3645.5, 9528.5)","(5014.125, 8159.875)","(4796.125, 8145.875)",8322.27027027027
"(17087.375, 22075.625)","(16473.875, 21364.125)","(16687.5, 21012.5)",20209.57894736842
"(-100.5, 120.5)","(-47.5, 67.5)","(-24.875, 44.875)",229.88095238095238
"(1425.0, 2725.0)","(1400.25, 2749.75)","(1351.5, 2246.5)",2485.2923076923075
"(2004.0, 2396.0)","(2059.5, 2340.5)","(1483.875, 2150.125)",2021.5485436893205
"(18915.5, 21516.5)","(19150.875, 21295.125)","(19204.5, 20795.5)",20259.052631578947
"(810.5, 1357.5)","(783.5, 1330.5)","(528.875, 1563.125)",2868.5375
"(2210.75, 3487.25)","(2463.5, 3214.5)","(1391.5, 3402.5)",5141.394736842105
"(133.0, 1459.0)","(136.5, 1483.5)","(516.0, 968.0)",4074.3858695652175
"(202.5, 2135.5)","(205.0, 2133.0)","(504.5, 1833.5)",1958.9586776859503
"(408.5, 465.5)","(408.5, 465.5)","(154.125, 734.875)",693.6169154228855
"(5.0, 25.0)","(5.0, 25.0)","(-6.875, 44.875)",500.1924528301887
"(1011.5, 2332.5)","(1300.875, 2043.125)","(515.75, 2834.25)",2898.8859649122805
"(2278.5, 2311.5)","(2278.125, 2311.875)","(2067.75, 2318.25)",4107.311111111111
"(1201.75, 1806.25)","(1145.0, 2003.0)","(693.125, 2472.875)",14008.55
"(1507.125, 2574.875)","(1861.25, 2272.75)","(1825.25, 2370.75)",7386.992537313433
"(37.5, 1460.5)","(589.5, 908.5)","(616.75, 881.25)",8707.627586206896
"(136805.5, 327352.5)","(147394.5, 400658.5)","(150355.0, 313803.0)",292647.86934673367
"(18493.625, 23902.375)","(11534.5, 31343.5)","(10479.0, 31619.0)",26722.032520325203
"(2490.5, 5451.5)","(2615.875, 5330.125)","(2591.0, 5351.0)",4742.592417061612
"(28029.5, 59424.5)","(22154.5, 55339.5)","(22499.5, 43908.5)",50104.489795918365
"(1081117.0, 1258883.0)","(990492.25, 1385497.75)","(797952.25, 1202047.75)",1248183.2576687117
"(1349.5, 1550.5)","(1339.5, 1460.5)","(1150.0, 1646.0)",1485.3067484662577
"(1180.0, 1580.0)","(971.0, 1429.0)","(520.0, 1214.0)",1345.9060773480662
"(-2538.0, 7136.0)","(-652.875, 4152.875)","(-1716.125, 3785.125)",13995.74011299435
"(27.625, 28002.375)","(-489.0, 525.0)","(6.375, 871.625)",14010.25
"(-299.0, 581.0)","(-286.375, 570.375)","(-106.625, 744.625)",640.073732718894
"(1037.5, 1982.5)","(1042.5, 1987.5)","(1092.25, 2708.75)",3549.4663677130043
"(2736.0, 3870.0)","(2691.0, 3915.0)","(2666.5, 3939.5)",14869.975708502025
"(-577.5, 655.5)","(-578.0, 656.0)","(-1144.0, 1222.0)",1453.9102040816326
"(711.0, 6615.0)","(711.0, 6615.0)","(2784.0, 3876.0)",5892.164912280702
"(0.0, 14.0)","(0.0, 14.0)","(0.5, 15.5)",153.49763033175356
"(124.0, 164.0)","(114.0, 174.0)","(72.25, 327.75)",247.80555555555554
"(-77.875, 377.875)","(-4.5, 392.5)","(77.0, 217.0)",670.561403508772
"(101.625, 496.375)","(116.0, 484.0)","(227.5, 572.5)",1788.5443548387098
"(8315.75, 9988.25)","(5954.5, 12505.5)","(5864.0, 12596.0)",14323.121212121212
"(146.875, 299.125)","(153.25, 286.75)","(125.5, 296.5)",417.5759493670886
"(1332.875, 1717.125)","(1123.875, 1964.125)","(-107.5, 3581.5)",2058.8307692307694
"(1.0, 1.0)","(0.5, 1.5)","(0.5, 1.5)",110.96153846153847
"(1003.0, 1997.0)","(1003.0, 1997.0)","(1084.5, 2041.5)",1815.8035714285713
"(-0.5, 308.5)","(23.75, 282.25)","(108.5, 199.5)",270.71615720524017
"(11103.0, 17729.0)","(10493.0, 15661.0)","(10321.5, 14868.5)",16405.784090909092
"(15328.5, 18671.5)","(15003.5, 18346.5)","(15686.875, 21530.125)",18054.237068965518
"(49241.5, 52262.5)","(48787.5, 52034.5)","(44872.625, 51051.375)",48608.035294117646
"(1233.875, 1554.125)","(1133.75, 1731.25)","(1544.625, 2341.375)",1526.9166666666667
"(58875000.0, 80125000.0)","(58501500.0, 83385500.0)","(61315998.5, 74684001.5)",67219239.81818181
"(1404.0, 2592.0)","(1421.5, 2576.5)","(171.0, 3827.0)",2768.6666666666665
"(23671.75, 25748.25)","(23533.0, 25421.0)","(22189.75, 25476.25)",23113.533333333333
"(8358.875, 45863.125)","(14000.75, 56407.25)","(185.0, 44628.0)",34086.96052631579
"(53.0, 145.0)","(55.25, 142.75)","(55.5, 142.5)",100.81347150259067
"(494.0, 1736.0)","(643.0, 1855.0)","(38.25, 787.75)",1298.314049586777
"(17.0, 83.0)","(17.0, 83.0)","(17.625, 82.375)",212.78082191780823
"(-14.5, 168.5)","(-20.75, 160.75)","(-16.875, 161.875)",1835.135
"(43128.25, 50333.75)","(42157.0, 50395.0)","(42059.75, 51402.25)",63376.91935483871
"(1843.0, 2231.0)","(1864.0, 2252.0)","(1660.0, 2252.0)",2117.3960784313726
"(2053527.875, 2714472.125)","(2042055.0, 2757055.0)","(1614660.75, 2485339.25)",2585730.992857143
"(-28.5, 594.5)","(137.5, 338.5)","(9.25, 266.75)",6612.520618556701
"(204.0, 394.0)","(190.5, 363.5)","(304.75, 373.25)",332.64516129032256
"(5174.5, 7099.5)","(5365.5, 7181.5)","(3746.625, 7694.375)",10560.288
"(2306.125, 2577.875)","(2292.5, 2591.5)","(2293.0, 2991.0)",3719.177777777778
"(560975.0, 839025.0)","(506808.5, 793191.5)","(377633.5, 752632.5)",635378.291005291
"(926.125, 1017.875)","(926.75, 1017.25)","(461.0, 1539.0)",4597.317647058823
"(559.75, 658.25)","(376.375, 841.625)","(380.875, 837.125)",1111.5870967741935
"(-276.375, 2150.375)","(-250.0, 2144.0)","(-805.625, 2717.625)",11093.668224299065
"(737.5, 1256.5)","(159.25, 1902.75)","(549.5, 1510.5)",1240.1168831168832
"(2.5, 5.5)","(2.5, 5.5)","(2.5, 5.5)",13.928571428571429
"(0.0, 14.0)","(0.0, 14.0)","(2.0, 16.0)",83.77653631284916
"(0.5, 3.5)","(-13.0, 19.0)","(-93.5, 101.5)",131.79377431906616
"(5.5, 10.5)","(4.0, 12.0)","(4.875, 11.125)",87.88679245283019
"(9583.125, 19991.875)","(7321.75, 21830.25)","(4264.25, 10269.75)",14420.375
"(420351499.0, 447598501.0)","(419737498.25, 444262501.75)","(416061924.25, 467938075.75)",432011180.69536424
"(10090135.25, 12449640.75)","(8979498.0, 12020502.0)","(7916581.375, 10833418.625)",11269979.585526315
"(119658.5, 161901.5)","(121745.0, 158255.0)","(121692.375, 158336.625)",139687.9461883408
"(1409.0, 1755.0)","(1384.5, 1775.5)","(1326.75, 1779.25)",3269.636752136752
"(6.25, 19.75)","(5.625, 22.375)","(3.0, 21.0)",16.5531914893617
"(125.0, 237.0)","(123.0, 239.0)","(-119.875, 535.875)",1405.4901960784314
"(888158.75, 1117187.25)","(1012624.625, 1321815.375)","(833193.625, 999466.375)",1079342.5833333333
"(387153248.75, 610846751.25)","(427824997.0, 644174997.0)","(450898410.25, 660546589.75)",519311979.24489796
"(873620319.5, 1108740937.5)","(861503791.75, 1136496208.25)","(901248827.0, 1194751173.0)",1016741846.7162162
"(-96.0, 1066.0)","(-291.0, 1261.0)","(-486.5, 1680.5)",1444.3893805309735
"(2606.0, 4394.0)","(2812.5, 4501.5)","(3068.0, 4927.0)",5173.467592592592
"(712.0, 918.0)","(731.0, 899.0)","(237.5, 1422.5)",2547.7741935483873
"(193.5, 1377.5)","(416.5, 1403.5)","(400.25, 1419.75)",984.6929824561404
"(3438.875, 32687.125)","(3189.75, 32107.25)","(6617.5, 20970.5)",22243.372881355932
"(4920.5, 16881.5)","(4920.5, 16881.5)","(7160.0, 16042.0)",13746.38655462185
"(101.5, 388.5)","(98.25, 357.75)","(-124.75, 714.75)",1248.861471861472
"(20588.5, 27047.5)","(20275.25, 27360.75)","(20572.0, 26828.0)",41127.69849246231
"(106.875, 236.125)","(101.375, 226.625)","(100.25, 227.75)",199.01304347826087
"(759.625, 1016.375)","(771.0, 1005.0)","(692.75, 1003.25)",2416.1826923076924
"(4145.0, 5485.0)","(4061.5, 5507.5)","(3860.5, 5405.5)",5013.280542986426
"(218.0, 256.0)","(218.875, 253.125)","(203.0, 249.0)",621.3585858585859
"(393.0, 451.0)","(390.5, 453.5)","(382.0, 462.0)",510.986301369863
"(739.0, 861.0)","(758.0, 880.0)","(758.0, 880.0)",1227.2072538860104
"(2121.0, 4161.0)","(2259.0, 4023.0)","(1488.75, 6063.25)",13746.150877192982
"(-4278.0, 4556.0)","(-1944.5, 2924.5)","(-12.5, 363.5)",3020.4212765957445
"(3565.5, 3574.5)","(3565.5, 3574.5)","(3565.5, 3574.5)",3083.5
"(263017.25, 276982.75)","(261794.0, 278206.0)","(259600.0, 270592.0)",269677.6594827586
"(331.5, 430.5)","(348.5, 417.5)","(286.5, 353.5)",389.6666666666667
"(446.5, 915.5)","(439.5, 908.5)","(393.0, 1018.0)",2061.6735751295337
"(1945.0, 2693.0)","(1735.0, 2707.0)","(1646.5, 2595.5)",3241.2
"(-515.5, 2291.5)","(-307.375, 2071.375)","(-277.0, 1977.0)",1882.4460093896714
"(327.0, 417.0)","(327.875, 422.125)","(314.625, 437.375)",432.031007751938
"(233.0, 441.0)","(209.5, 462.5)","(182.5, 483.5)",442.2700729927007
"(869999997.5, 980000002.5)","(874473494.0, 994526506.0)","(911283494.0, 1020283494.0)",940963741.0896552
"(33035744.625, 36418245.375)","(31899686.5, 36100313.5)","(26229747.25, 34170252.75)",34548388.51298701
"(2453.5, 3234.5)","(2481.875, 3244.125)","(1082.375, 4691.625)",5789.3317307692305
"(784.0, 934.0)","(756.0, 906.0)","(720.5, 907.5)",3534.218253968254
"(-1.75, 11.75)","(0.5, 9.5)","(3.0, 7.0)",16.529411764705884
"(4094.5, 6139.5)","(4009.25, 6224.75)","(4044.125, 6189.875)",4766.283720930232
"(53.5, 66.5)","(53.5, 66.5)","(54.5, 65.5)",1019.6542553191489
"(-382.5, 2382.5)","(-259.625, 2259.625)","(-140.0, 1828.0)",3667.4577777777777
"(220.5, 679.5)","(217.5, 626.5)","(13.5, 216.5)",323.6864864864865
"(270434.5, 289563.5)","(269481.5, 290516.5)","(267764.5, 292764.5)",273053.83397683396
"(10499.0, 19499.0)","(9992.0, 19994.0)","(9045.0, 19046.0)",12555.659217877095
"(392508.375, 758641.625)","(356608.0, 683126.0)","(337681.875, 654196.125)",621866.459770115
"(-475.0, 509.0)","(-476.0, 510.0)","(-435.5, 469.5)",2316.3246753246754
"(-2590.625, 6122.625)","(-100.75, 3630.75)","(-675.5, 4205.5)",44962.17543859649
"(1482.0, 1702.0)","(1467.25, 1716.75)","(1504.375, 1786.625)",1604.4228187919464
"(368.0, 552.0)","(377.0, 542.0)","(374.5, 565.5)",528.561797752809
"(213320.0, 423320.0)","(199269.0, 411985.0)","(249412.0, 447808.0)",418803.25339366513
"(28596.0, 71404.0)","(28846.0, 71154.0)","(33211.0, 75789.0)",119990.66108786612
"(275166.0, 284024.0)","(275945.5, 283611.5)","(273999.25, 285190.75)",284981.5326633166
"(32.0, 48.0)","(28.75, 51.25)","(21.875, 51.125)",7431.606741573034
"(36.0, 40.0)","(36.0, 40.0)","(34.5, 39.5)",77.31788079470199
"(19945242.0, 21945242.0)","(19309833.5, 21286166.5)","(19518157.875, 21525408.125)",20948409.793814432
"(-6447.0, 14615.0)","(-6447.0, 14615.0)","(-6425.875, 14658.875)",10207.876033057852
"(2.0, 110.0)","(-2.0, 102.0)","(-1.0, 93.0)",185.81159420289856
"(90.5, 1403.5)","(77.25, 1392.75)","(64.0, 1406.0)",5838.601351351352
"(2658.0, 4853.0)","(2787.0, 4787.0)","(2540.0, 4840.0)",4937.389763779527
"(446203.5, 465159.5)","(445465.0, 465495.0)","(452776.75, 510299.25)",457990.0
"(747.5, 1242.5)","(745.0, 1240.0)","(517.25, 1182.75)",2227.846153846154
"(517.5, 1344.5)","(-156.5, 667.5)","(100.0, 1000.0)",3020.909090909091
"(18786.125, 20835.875)","(18509.25, 20819.75)","(19747.0, 21501.0)",19786.84375
"(30315.5, 39702.5)","(32276.25, 37741.75)","(34199.875, 36182.125)",31746.24175824176
"(-357.125, 2157.125)","(-324.625, 2124.625)","(-103.125, 1903.125)",1705.1617647058824
"(-1590.5, 2709.5)","(-1327.375, 2367.375)","(-1251.0, 3249.0)",5144.208333333333
"(48.5, 875.5)","(-115.0, 715.0)","(55.0, 745.0)",4542.854166666667
"(93.0, 3047.0)","(-978.0, 1978.0)","(-1088.0, 1868.0)",2704.815476190476
"(58569.0, 100643.0)","(48617.875, 98722.125)","(59521.0, 137554.0)",82995.67889908257
"(237.75, 312.25)","(232.75, 315.25)","(252.25, 325.75)",454.840490797546
"(1500.5, 3499.5)","(1500.0, 3500.0)","(2039.5, 3904.5)",6608.675438596491
"(569272.375, 606585.625)","(561657.0, 600343.0)","(530115.5, 650276.5)",601893.715
"(2179.0, 2839.0)","(2213.625, 2806.375)","(2128.0, 2712.0)",3095.3586206896553
"(488.5, 719.5)","(461.875, 746.125)","(487.125, 708.875)",880.060465116279
"(54575746.0, 64024238.0)","(51806791.125, 60294208.875)","(52869199.25, 61403922.75)",60241520.40397351
"(-494.0, 2355.0)","(-433.25, 2315.25)","(-128.625, 2130.625)",7455.0990099009905
"(2496.5, 4023.5)","(2496.5, 4023.5)","(2569.625, 3950.375)",5308.472527472528
"(14.5, 733.5)","(-23.125, 755.125)","(-50.5, 746.5)",1781.8099547511313
"(8.5, 11.5)","(9.0, 11.0)","(8.0, 12.0)",15.31547619047619
"(17.5, 19.5)","(19.0, 21.0)","(18.0, 20.0)",18.015151515151516
"(-32.5, 244.5)","(-39.375, 253.375)","(12.5, 191.5)",630.7652173913043
"(-550.0, 2550.0)","(368.25, 1631.75)","(220.75, 1869.25)",2038.1557788944724
"(1407.375, 1751.625)","(1379.5, 1764.5)","(1370.5, 1773.5)",2827.53125
"(5335.0, 5891.0)","(5329.5, 5870.5)","(5382.125, 5917.875)",5562.225988700565
"(-1874.75, 2874.75)","(0.0, 800.0)","(99.875, 900.125)",10559.532710280373
"(4002.5, 4996.5)","(4059.0, 4907.0)","(3981.75, 5018.25)",13493.643617021276
"(91.625, 146.375)","(96.75, 151.25)","(32.75, 167.25)",163.72826086956522
"(29.5, 52.5)","(29.625, 52.375)","(28.5, 51.5)",110.47305389221557
"(114.0, 190.0)","(105.125, 184.875)","(94.5, 181.5)",126.42682926829268
"(79.625, 90.375)","(75.0, 95.0)","(74.875, 95.125)",86.48837209302326
"(-206.0, 638.0)","(-26.5, 458.5)","(101.5, 328.5)",627.8372093023256
"(1449.25, 1998.75)","(1396.25, 2051.75)","(1396.0, 2052.0)",6022.25
"(99629.0, 122405.0)","(98936.5, 123097.5)","(95301.0, 114699.0)",111917.29482071713
"(745.25, 1068.75)","(717.5, 1096.5)","(739.25, 1096.75)",1163.4502923976609
"(2291.5, 9708.5)","(3717.0, 11103.0)","(1314.75, 8685.25)",6344.975
"(-16573.5, 22393.5)","(-1829.25, 2185.25)","(-405.625, 725.625)",38145.18103448276
"(14878420.25, 15494293.75)","(14584250.25, 15413749.75)","(12979332.25, 14596667.75)",15128830.266666668
"(485.625, 1068.375)","(527.0, 1027.0)","(439.0, 1115.0)",7217.06993006993
"(112567.5, 149432.5)","(108145.0, 144627.0)","(97960.5, 132839.5)",120219.49361702127
"(363.5, 458.5)","(364.5, 459.5)","(359.0, 465.0)",554.7832512315271
"(1977.5, 3004.5)","(1977.5, 3004.5)","(1961.75, 3020.25)",2785.5822784810125
"(-101.5, 581.5)","(64.5, 415.5)","(44.0, 436.0)",1370.5967741935483
"(-287.5, 687.5)","(-275.5, 699.5)","(-366.5, 874.5)",2732.4159292035397
"(161.25, 291.75)","(162.5, 293.5)","(228.25, 311.75)",1049.7887323943662
"(1276.25, 7223.75)","(-269.5, 7157.5)","(-493.625, 7080.625)",5331.63082437276
"(104.0, 150.0)","(-42.5, 308.5)","(-27.5, 293.5)",252.67948717948718
"(124.0, 326.0)","(79.5, 280.5)","(48.0, 252.0)",227.71038251366122
"(1245.25, 5110.75)","(1038.75, 5289.25)","(117.625, 6254.375)",8114.163934426229
"(1322.75, 7677.25)","(288.0, 8712.0)","(259.5, 8740.5)",5824.593548387097
