5m_range,1h_range,6h_range,5m_mean
"(584542.5, 600521.5)","(552391.5, 572657.5)","(507229.0, 631003.0)",592726.1897233202
"(32043.0, 32051.0)","(32021.875, 32085.125)","(32003.25, 32082.75)",32079.036363636365
"(2.5, 3.5)","(3.0, 3.0)","(2.5, 3.5)",3.6027397260273974
"(281.0, 319.0)","(255.25, 308.75)","(243.75, 380.25)",283.1630434782609
"(4422.0, 4432.0)","(4412.125, 4477.875)","(4404.25, 4477.75)",4440.144578313253
"(17340.5, 17371.5)","(17354.5, 17457.5)","(17324.375, 17443.625)",17408.70552147239
"(36611.125, 40488.875)","(35448.75, 38825.25)","(32865.0, 38731.0)",37102.138554216865
"(96115.0, 113300.0)","(91200.25, 106069.75)","(93073.5, 111844.5)",99392.51764705882
"(84549.5, 95740.5)","(90962.5, 98081.5)","(89878.0, 97626.0)",90140.14917127072
"(35821.0, 35821.0)","(33587.5, 36090.5)","(29691.5, 35910.5)",34962.01226993865
"(60620.25, 65377.75)","(60483.5, 64954.5)","(61988.5, 67672.5)",60464.910994764396
"(4390.5, 6685.5)","(789.25, 10384.75)","(4592.75, 8642.25)",11381.303797468354
"(2847.25, 2984.75)","(2715.125, 3631.875)","(2770.625, 4790.375)",3210.4222222222224
"(5808.5, 6283.5)","(1412.5, 10787.5)","(2585.75, 12200.25)",9995.236842105263
"(79195.5, 90528.5)","(80343.0, 92610.0)","(78949.5, 97708.5)",87070.65333333334
"(202.875, 287.125)","(234.875, 287.125)","(205.75, 378.25)",241.43006993006992
"(7790.0, 8414.0)","(7571.25, 8684.75)","(7341.5, 9558.5)",12616.931034482759
"(15646.0, 18336.0)","(13567.75, 14330.25)","(12571.25, 13628.75)",16271.501872659175
"(16846.0, 17222.0)","(16571.25, 17742.75)","(14108.75, 19901.25)",17065.62641509434
"(1410.0, 1790.0)","(997.5, 1635.5)","(769.375, 991.625)",1663.3370786516855
"(5571.0, 6209.0)","(4224.5, 5751.5)","(4118.75, 5827.25)",5639.969230769231
